# RFI station list — official station names, the single source shared by iOS and backend.
#
# Source:    https://iechub.rfi.it/ArriviPartenze/ — the <select name="PlaceId"> station picker,
#            RFI's own authoritative list (same ids the live monitor uses).
# Extracted: 2026-08-31
# Entries:   2435 at extraction time.
#
# THIS IS A DATED SNAPSHOT, NOT A PERPETUAL TRUTH. Nothing guarantees RFI's
# list is stable, so the entry count is not a constant to rely on. Never assert
# the count in a test — assert properties (uniqueness, injectivity, known
# anchors). A count assertion proves nothing while it passes and breaks on any
# upstream change.
#
# Names are RFI's, verbatim, with ONE typographic normalization: where RFI
# types a backtick standing in for an apostrophe, it becomes an apostrophe
# (so "CITTA DI CASTELLO" carries a real apostrophe after CITTA).
# Structure is never touched — spacing, hyphens and slashes stay as RFI writes
# them. Regenerate with tools/generate-rfi-stations-tsv.mjs; never hand-edit.
#
# placeId	name
755	BUCINE
756	BUDOIA POLCENIGO
757	BUGNARA
758	BUONCONVENTO
760	BURONZO
2386	BUSA DI VIGONZA
219	BUSALLA
761	BUSCA
762	BUSCHE LENTIAI MEL
763	BUSSETO
764	BUSSI
765	BUSSOLENO
766	BUSTO ARSIZIO
768	BUTTAFAVA
769	BUTTAPIETRA
770	BUTTRIO
778	CA' DI BOSCHETTI
785	CADEO
787	CAGLIARI
788	CAGLIARI ELMAS
3164	CAGLIARI S.GILLA
790	CAIRO MONTENOTTE
791	CALA SABINA
792	CALALZO PIEVE CADORE CORTINA
793	CALAMANDRANA
794	CALATABIANO
795	CALATAFIMI
797	CALCERANICA
801	CALDE'
3537	CALDERARA-BARGELLINO
803	CALDONAZZO
804	CALENZANO
3223	CALLIANO
807	CALOLZIOCORTE OLGINATE
26	CALOPEZZATI
809	CALTAGIRONE
772	CALTANISSETTA CENTRALE
773	CALTANISSETTA XIRBI
810	CALTIGNAGA
811	CALUSCO
812	CALUSO
813	CALVISANO
814	CAMAIORE LIDO CAPEZZANO
817	CAMBIANO SANTENA
2439	CAMERANO ASPIO
818	CAMMARATA S.GIOVANNI GEMINI
819	CAMNAGO-LENTATE
221	CAMOGLI S.FRUTTUOSO
820	CAMPAGNA SERRE PERSANO
822	CAMPELLO SUL CLITUNNO
823	CAMPIGLIA MARITTIMA
2174	CAMPO DI CARNE
824	CAMPO DI GIOVE
771	CAMPO DI GIOVE-MONTE MAIELLA
826	CAMPO DI TRENS
222	CAMPO LIGURE-MASONE
827	CAMPOBASSO
828	CAMPOBELLO DI MAZARA
829	CAMPOBELLO RAVANUSA
831	CAMPODARSEGO
832	CAMPOFELICE
833	CAMPOFRANCO
835	CAMPOLEONE
836	CAMPOLIETO MONACILIONI
838	CAMPOMARINO
3421	CAMPOMIGLIAIO
27	CAMPORA S.GIOVANNI SERRA AIELLO
840	CAMPORGIANO
842	CAMPOSAMPIERO
843	CAMPOSANTO
844	CAMUCIA CORTONA
845	CANARO
847	CANCELLIERA
848	CANCELLO
849	CANCELLO ARNONE
852	CANDELO
853	CANDIA CANAVESE
854	CANDIA LOMELLINA
856	CANDIOLO
858	CANEGRATE
859	CANELLI
860	CANETRA
861	CANICATTI'
863	CANISTRO
865	CANNE DELLA BATTAGLIA
866	CANNETO SULL'OGLIO
867	CANNIZZARO
868	CANOSA DI PUGLIA
5422	CANOSCIO
3181	CANSANO
3256	CANSANO SCAVI DI OCRITICUM
2974	CANTELLO GAGGIOLO
872	CANTU'
873	CANTU'-CERMENATE
874	CAORSO
28	CAPACCIO ROCCADASPIDE
3224	CAPACI
876	CAPALBIO
877	CAPANNELLE
878	CAPISTRELLO
30	CAPO BONIFATI
879	CAPO D'ORLANDO-NASO
31	CAPO SPARTIVENTO
880	CAPOCROCE
882	CAPPELLE-MAGLIANO
883	CAPRALBA
884	CAPRANICA-SUTRI
886	CAPRIATI AL VOLTURNO
888	CAPRIVA
889	CAPUA
891	CARATE-CALO'
892	CARAVAGGIO
893	CARBONA
968	CARBONIA SERBARIU
894	CARBONIA STATO
898	CARENTINO
34	CARIATI
899	CARIMATE
900	CARINI
3442	CARINI TORRE CIACHEA
